"Gene","logFC","t_statistic","P.Value","FDR","SYMBOL","GENENAME"
"ENSG00000183688",1.12488795179999,12.4909108778948,4.39231522697562e-23,1.2349617051607e-20,"RFLNB","refilin B"
"ENSG00000104885",1.35322043651635,12.2123108057662,1.93147400285687e-22,4.19649465199238e-20,"DOT1L","DOT1 like histone lysine methyltransferase"
"ENSG00000106089",1.87403887286504,12.0575085762222,4.40779900635195e-22,8.4728691511896e-20,"STX1A","syntaxin 1A"
"ENSG00000155252",1.38564694166053,11.982052997789,6.59343114037053e-22,1.22977282992376e-19,"PI4K2A","phosphatidylinositol 4-kinase type 2 alpha"
"ENSG00000161010",1.06708681545531,11.7227721243468,2.63698629741683e-21,4.24577332228532e-19,"MRNIP","MRN complex interacting protein"
"ENSG00000122861",2.07481776694331,11.2674052304173,3.03155686980575e-20,3.9935991827553e-18,"PLAU","plasminogen activator, urokinase"
"ENSG00000168264",1.1320813139545,11.1914943959096,4.55817203258652e-20,5.56794780670127e-18,"IRF2BP2","interferon regulatory factor 2 binding protein 2"
"ENSG00000182557",1.7818161366999,11.1719972742398,5.06169843403725e-20,6.03495412027808e-18,"SPNS3","SPNS lysolipid transporter 3, sphingosine-1-phosphate (putative)"
"ENSG00000184545",1.82495837055407,10.9613320934528,1.5713053571155e-19,1.60001353066712e-17,"DUSP8","dual specificity phosphatase 8"
"ENSG00000161905",2.55566433136619,10.8492586332163,2.87181859755398e-19,2.77432403798574e-17,"ALOX15","arachidonate 15-lipoxygenase"
"ENSG00000103355",2.33318645369175,10.6171001776138,1.00211336698091e-18,8.82140729307775e-17,"PRSS33","serine protease 33"
"ENSG00000139289",1.42609515869631,10.5017281970611,1.86512288352025e-18,1.57556882868854e-16,"PHLDA1","pleckstrin homology like domain family A member 1"
"ENSG00000228830",1.87656362398787,10.4943880287762,1.94031564598908e-18,1.63177080978314e-16,NA,NA
"ENSG00000205903",1.10464178087218,10.4629718397428,2.29794069595852e-18,1.89862310659941e-16,"ZNF316","zinc finger protein 316"
"ENSG00000267607",1.80216624734328,10.1878142121991,1.0108600367218e-17,7.32406975837122e-16,"ICAM4-AS1","ICAM4 antisense RNA 1"
"ENSG00000140691",1.09306455674837,10.1075533571933,1.55695791602444e-17,1.08228683476267e-15,"ARMC5","armadillo repeat containing 5"
"ENSG00000090924",1.0243316807086,9.94512942848505,3.73006323630741e-17,2.37388281234996e-15,"PLEKHG2","pleckstrin homology and RhoGEF domain containing G2"
"ENSG00000112715",1.16540166866318,9.74318316962942,1.10413713044803e-16,6.39991854257844e-15,"VEGFA","vascular endothelial growth factor A"
"ENSG00000056558",1.02555077613785,9.61986277516377,2.14042654065298e-16,1.16199870815045e-14,"TRAF1","TNF receptor associated factor 1"
"ENSG00000126368",1.3342850716379,9.53493528927502,3.37521910407756e-16,1.76617715229481e-14,"NR1D1","nuclear receptor subfamily 1 group D member 1"
"ENSG00000132141",1.38517582073291,9.42816167951092,5.98070639249556e-16,2.94933369167098e-14,"CCT6B","chaperonin containing TCP1 subunit 6B"
"ENSG00000160223",1.28685647514437,9.37512585927928,7.94430039905252e-16,3.81586783340335e-14,"ICOSLG","inducible T cell costimulator ligand"
"ENSG00000175352",1.52603761423753,9.36005355962335,8.61159759493444e-16,4.08627897968199e-14,"NRIP3","nuclear receptor interacting protein 3"
"ENSG00000103257",1.14518550219982,9.28274695343587,1.30210287869764e-15,5.95364418177335e-14,"SLC7A5","solute carrier family 7 member 5"
"ENSG00000205189",1.18872725741435,9.27269301974296,1.37399498781755e-15,6.25200907741716e-14,"ZBTB10","zinc finger and BTB domain containing 10"
"ENSG00000167962",1.06855115653928,9.0430303565457,4.68020870904693e-15,1.95923937024502e-13,"ZNF598","zinc finger protein 598, E3 ubiquitin ligase"
"ENSG00000112149",1.43061963831693,9.03903311356567,4.78094285609909e-15,1.98815455901092e-13,"CD83","CD83 molecule"
"ENSG00000255587",1.2849374122465,8.96245726136016,7.18738365456387e-15,2.8685579085736e-13,"RAB44","RAB44, member RAS oncogene family"
"ENSG00000172232",1.88406233743939,8.95899256282631,7.32110394948305e-15,2.91574960254464e-13,"AZU1","azurocidin 1"
"ENSG00000272398",1.26549669177157,8.92396284442431,8.820475654257e-15,3.44730540196874e-13,"CD24","CD24 molecule"
"ENSG00000069956",1.00502770317516,8.90328646580245,9.84531583732646e-15,3.80833798241388e-13,"MAPK6","mitogen-activated protein kinase 6"
