"OlinkID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version"
"OID21481",1.75213094577553,4.75477702349869,14.7162524072614,3.39501478285066e-39,4.85147612469359e-36,78.3156509564557,"C4BPB","P20851",0.03,0.5761,"ONCOLOGY",1
"OID20697",2.41575119798233,6.91940130548303,14.49898163358,2.63754123190231e-38,1.8845232101942e-35,76.2865022301447,"CXCL10","P02778",0.03,0.7484,"INFLAMMATION",1
"OID20178",2.0532639050021,4.4876044386423,14.1295917798133,8.43611832042376e-37,4.01840435996185e-34,72.8569438168818,"NADK","O95544",0.04,0.3225,"CARDIOMETABOLIC",1
"OID21226",2.24095952921395,3.91665561357702,13.9925364585281,3.03059618457669e-36,1.08268048694002e-33,71.5913887813099,"DDX58","O95786",0.05,1.1711,"ONCOLOGY",1
"OID20341",0.932057528373264,7.77943133159269,13.8524805239401,1.11104412923714e-35,3.17536412135975e-33,70.3057500035877,"TCN2","P20062",0.03,0.5869,"CARDIOMETABOLIC",1
"OID21044",1.06593585960487,4.61704334203655,13.6587419013727,6.71239927340273e-35,1.59866976028208e-32,68.5259857930853,"CASC4","Q6P4E1",0.03,0.7324,"NEUROLOGY",1
"OID20795",1.93873746532156,2.12340704960836,13.3733993528439,9.29504390670901e-34,1.89751682038388e-31,65.925652922991,"IFNL1","Q8IU54",0.81,2.8774,"NEUROLOGY",1
"OID20754",-1.07920404371585,4.10794830287206,-12.2402370517252,2.57357448580366e-29,4.59704742526679e-27,55.8086219700424,"CDON","Q4KMG0",0.03,0.7308,"INFLAMMATION",1
"OID20234",1.50991485498108,5.13277415143603,12.1094316626115,8.1838858003781e-29,1.29941920097115e-26,54.664840149182,"TYMP","P19971",0.06,3.1138,"CARDIOMETABOLIC",1
"OID20436",1.74127140395124,3.83139190600522,11.9028628849271,5.03007309083543e-28,7.18797444680383e-26,52.8697625471032,"LAP3","P28838",0.16,1.9415,"INFLAMMATION",1
"OID20523",2.12826751155947,4.35613315926893,11.8755638682452,6.38766130250296e-28,8.2981527284334e-26,52.6335844165364,"CCL7","P80098",0.05,1.4326,"INFLAMMATION",1
"OID20224",-0.827773404791927,0.751980156657963,-11.6736304963477,3.70696409135661e-27,4.41437640545717e-25,50.8955756033427,"ROR1","Q01973",0.44,0.5722,"CARDIOMETABOLIC",1
"OID21466",1.39966582597729,8.26877023498695,11.2158133669807,1.9021819565865e-25,2.09093693535547e-23,47.0046035475862,"CCL8","P80075",0.03,1.2724,"ONCOLOGY",1
"OID21042",1.53611049180327,4.90927336814621,11.1122315154337,4.58624600391114e-25,4.68124681399215e-23,46.1352842183939,"CXCL11","O14625",0.04,0.8111,"NEUROLOGY",1
"OID20279",-1.06505591004624,1.73982663185379,-11.039812129102,8.46499713477518e-25,8.06432060372916e-23,45.5299441386319,"CRTAC1","Q9NQ79",0.03,-0.7264,"CARDIOMETABOLIC",1
"OID20116",-0.78518872635561,1.68339608355091,-10.8584124794827,3.89242309014062e-24,3.47642037238184e-22,44.0232336714256,"BOC","Q9BWV1",0.04,0.2996,"CARDIOMETABOLIC",1
"OID20750",0.969235725094575,6.18758798955614,10.6748098834599,1.80131055276146e-23,1.51416045876243e-21,42.5105692683413,"TPP1","O14773",0.03,0.5739,"INFLAMMATION",1
"OID20604",1.28023181168558,6.34757754569191,10.5805838008947,3.93203768022699e-23,3.12160102502465e-21,41.7399407697902,"GZMB","P10144",0.04,1.7552,"INFLAMMATION",1
"OID20405",-1.01329957965531,5.13665404699739,-10.5678283506555,4.3690771972211e-23,3.28600595517313e-21,41.6359060949889,"COMP","P49747",0.03,0.7117,"CARDIOMETABOLIC",1
"OID21429",0.870458982765866,5.95109817232376,10.5542049010032,4.88927015089382e-23,3.49338352281364e-21,41.5248677120933,"LRIG1","Q96JA1",0.03,0.3621,"ONCOLOGY",1
"OID20654",0.824714678436317,6.48111096605744,10.5076687870716,7.17580444892241e-23,4.88296407500482e-21,41.1461662538718,"C1QA","P02745",0.03,0.3754,"INFLAMMATION",1
"OID20773",0.77445506935687,6.07667545691906,10.128230806984,1.58293152483657e-21,1.0281859768143e-19,38.0934239769238,"LGMN","Q99538",0.04,0.8368,"INFLAMMATION",1
"OID20536",1.12919676334594,2.50028877284595,10.0950577581711,2.06835499699512e-21,1.28507795248088e-19,37.8295741258154,"SAMD9L","Q8IVG5",0.09,0.9049,"INFLAMMATION",1
"OID21029",1.67215067675493,4.43708772845953,10.0445160395537,3.105959913178e-21,1.81556014073475e-19,37.4285417208987,"BST2","Q10589",0.03,0.3009,"NEUROLOGY",1
